year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
2006,Nissan,Maxima,3.5 SL,Sedan,automatic,1n4ba41e16c834914,ca,34.0,121222.0,silver,black,the car exchange,4150.0,3500.0,Wed Feb 11 2015 04:30:00 GMT-0800 (PST)
2010,Cadillac,SRX,Performance,SUV,automatic,3gyfnbey6as587928,fl,46.0,42814.0,gray,beige,hyundai of new port richey,20400.0,19300.0,Thu Jan 08 2015 09:45:00 GMT-0800 (PST)
2014,Ford,F-150,XLT,SuperCab,automatic,1ftfx1et3efb33676,tn,42.0,20032.0,—,gray,midtown motors,22900.0,25000.0,Wed Feb 25 2015 02:30:00 GMT-0800 (PST)
2013,Chevrolet,Impala,LTZ,Sedan,automatic,2g1wc5e36d1199690,fl,23.0,52864.0,white,black,fiserv/dealer funding llc,12050.0,10400.0,Thu Feb 26 2015 01:35:00 GMT-0800 (PST)
2012,Kia,Soul,+,wagon,automatic,kndjt2a62c7742471,fl,37.0,72306.0,black,black,coral springs honda,8725.0,9400.0,Thu Jun 04 2015 03:27:00 GMT-0700 (PDT)
2012,Ford,Escape,Limited,SUV,automatic,1fmcu0eg0ckc75203,ga,38.0,42816.0,red,beige,ford motor credit company llc,15800.0,16100.0,Tue Jan 27 2015 01:30:00 GMT-0800 (PST)
2014,Dodge,Grand Caravan,SXT,minivan,automatic,2c4rdgcg5er183874,mo,43.0,37704.0,white,black,avis corporation,16200.0,16400.0,Tue Feb 17 2015 03:00:00 GMT-0800 (PST)
2015,Volvo,S60,T5 Drive-E,Sedan,automatic,yv140mfb4f1314863,fl,42.0,12314.0,white,beige,volvo na rep/world omni,22800.0,23500.0,Tue Feb 17 2015 01:30:00 GMT-0800 (PST)
2005,Chevrolet,Colorado,ZQ8,Extended Cab,manual,1gccs196258292148,mi,27.0,101864.0,black,gray,multi auto trading inc,5600.0,6500.0,Thu Jan 15 2015 01:30:00 GMT-0800 (PST)
2011,Mazda,CX-7,s Grand Touring,SUV,automatic,jm3er2dl5b0384556,ca,39.0,33791.0,black,black,northwestern chrys/j/d/ge,14950.0,15400.0,Tue Dec 23 2014 12:30:00 GMT-0800 (PST)
2012,Ford,Edge,SEL,SUV,automatic,2fmdk3jcxcba02312,il,34.0,36012.0,black,black,ford motor credit company llc,19000.0,18100.0,Thu Jan 08 2015 02:00:00 GMT-0800 (PST)
2002,Honda,Odyssey,EX-L,Minivan,automatic,5fnrl18912b051745,fl,28.0,159023.0,white,gray,coral springs honda,2325.0,2000.0,Fri May 22 2015 02:30:00 GMT-0700 (PDT)
2003,Honda,Accord,EX,Coupe,automatic,1hgcm72603a017747,nc,26.0,163362.0,gray,gray,hendrick kia of cary,2700.0,2700.0,Mon May 25 2015 02:30:00 GMT-0700 (PDT)
2012,Kia,Soul,+,Wagon,automatic,kndjt2a66c7368477,wi,47.0,57288.0,white,black,arlington hgts chry dod jeep,9425.0,10750.0,Wed Jan 07 2015 10:00:00 GMT-0800 (PST)
2013,Honda,Civic,LX,coupe,automatic,2hgfg3b58dh526136,fl,29.0,25207.0,gray,black,autonation honda hollywood,12600.0,12500.0,Tue Jun 02 2015 02:15:00 GMT-0700 (PDT)
2010,Toyota,Corolla,LE,Sedan,automatic,1nxbu4ee5az314581,wi,19.0,55694.0,silver,gray,us bank,8200.0,7700.0,Wed Feb 25 2015 02:00:00 GMT-0800 (PST)
2010,Dodge,Grand Caravan,SE,Minivan,automatic,2d4rn4de9ar439228,ny,3.0,87863.0,gray,gray,ge fleet services for itself/servicer,7425.0,7100.0,Thu Feb 19 2015 01:15:00 GMT-0800 (PST)
2007,Chevrolet,Impala,LT,Sedan,automatic,2g1wc58r879119926,pa,32.0,143833.0,silver,gray,faulkner nissan inc,3450.0,3850.0,Mon Feb 02 2015 04:00:00 GMT-0800 (PST)
2013,Buick,Regal,Premium 1,Sedan,automatic,2g4gs5er7d9222586,nj,32.0,31482.0,silver,black,the hertz corporation,14250.0,12100.0,Wed Dec 31 2014 09:30:00 GMT-0800 (PST)
2013,Nissan,Armada,SL,SUV,automatic,5n1ba0nc2dn613492,co,47.0,14309.0,brown,tan,nissan north america inc.,35400.0,29000.0,Tue Feb 03 2015 04:00:00 GMT-0800 (PST)
2013,Kia,Rio,LX,Sedan,automatic,knadm4a32d6163495,tx,35.0,52716.0,silver,gray,lobel financial corp,7775.0,6500.0,Thu May 28 2015 03:30:00 GMT-0700 (PDT)
2008,Chevrolet,HHR,LT,Wagon,automatic,3gnda53p08s620833,oh,35.0,72396.0,red,black,jr's auto city inc,5900.0,7500.0,Tue Feb 03 2015 01:30:00 GMT-0800 (PST)
2014,BMW,4 Series,435i,Coupe,automatic,wba3r1c5xef729219,nj,48.0,4931.0,white,black,bmw na manheim new jersey,38900.0,40750.0,Tue Jan 13 2015 06:00:00 GMT-0800 (PST)
2007,Cadillac,Escalade ESV,Base,SUV,automatic,1gyfk66807r379666,ca,22.0,92705.0,black,black,advantage funding commercial capital corp,19250.0,15000.0,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
2014,Hyundai,Sonata,GLS,Sedan,automatic,5npeb4ac1eh854845,tx,28.0,9479.0,blue,beige,gm financial,14950.0,12400.0,Wed Jan 14 2015 02:00:00 GMT-0800 (PST)
2013,Nissan,Altima,2.5,Sedan,automatic,1n4al3ap4dn513422,fl,2.0,50459.0,gray,black,dtag tra,11300.0,6800.0,Tue May 26 2015 02:33:00 GMT-0700 (PDT)
2013,Nissan,Altima,2.5,Sedan,automatic,1n4al3ap0dn521730,oh,27.0,57992.0,silver,black,dtg operations inc,12100.0,11500.0,Tue Feb 03 2015 01:30:00 GMT-0800 (PST)
1995,Nissan,Maxima,SE,Sedan,automatic,jn1ca21d8st090154,nv,2.0,185406.0,blue,beige,on call cash,675.0,550.0,Thu Jan 22 2015 03:00:00 GMT-0800 (PST)
2013,Ford,Escape,SE,SUV,automatic,1fmcu9gx5dua24636,ga,42.0,71105.0,white,gray,innovative auto llc,12650.0,13500.0,Tue May 26 2015 06:00:00 GMT-0700 (PDT)
2013,Ford,Fusion,SE,Sedan,automatic,3fa6p0h7xdr213122,oh,44.0,17269.0,black,black,ford motor credit company llc,14900.0,14500.0,Tue Mar 03 2015 01:00:00 GMT-0800 (PST)
2007,Chevrolet,Equinox,LS,suv,automatic,2cndl13f476066210,ca,27.0,108057.0,silver,gray,gm financial,4850.0,4600.0,Wed Jun 17 2015 05:30:00 GMT-0700 (PDT)
2012,Infiniti,QX,QX56,SUV,automatic,jn8az2ne7c9016579,nj,39.0,56982.0,silver,tan,mount one inc,40600.0,39500.0,Wed Feb 25 2015 01:30:00 GMT-0800 (PST)
2014,Ram,CV Tradesman,Base,Minivan,automatic,2c4jrgag1er148363,ca,48.0,4602.0,white,black,arrowhead auto group inc,17550.0,15750.0,Thu Feb 05 2015 04:00:00 GMT-0800 (PST)
2014,Ford,Escape,SE,suv,automatic,1fmcu0gx5eud02495,fl,14.0,26701.0,gray,black,ge fleet services for itself/servicer,16400.0,7000.0,Tue Jun 02 2015 02:30:00 GMT-0700 (PDT)
2006,Chevrolet,TrailBlazer,LS,SUV,automatic,1gndt13s062261659,tn,19.0,158296.0,gold,beige,dt credit corporation,2850.0,3000.0,Tue Dec 23 2014 10:30:00 GMT-0800 (PST)
2008,Toyota,Tundra,SR5,Double Cab,automatic,5tbbt54188s458595,ga,29.0,208859.0,red,gray,gm financial,12950.0,8800.0,Tue Feb 10 2015 01:30:00 GMT-0800 (PST)
2007,Chevrolet,Silverado 1500,LS,crew cab,automatic,2gcek13c971720035,il,2.0,119105.0,gray,gray,ally,12700.0,10000.0,Thu Jun 18 2015 07:00:00 GMT-0700 (PDT)
2014,Ram,3500,SLT,Crew Cab,automatic,3c63r3hl0eg255258,wa,44.0,8431.0,white,gray,crossborder vehicle sales ltd,38700.0,37900.0,Wed Feb 04 2015 04:30:00 GMT-0800 (PST)
2013,MINI,Cooper,S,Hatchback,automatic,wmwsv3c54dt396776,nv,49.0,5761.0,blue,black,bmw mini financial services,18250.0,18750.0,Thu Jan 22 2015 06:00:00 GMT-0800 (PST)
2012,Chevrolet,Impala,LS Fleet,Sedan,automatic,2g1wf5e36c1254371,sc,28.0,64190.0,white,black,pnc national bank,8650.0,7500.0,Tue Dec 23 2014 09:15:00 GMT-0800 (PST)
2012,Fisker,Karma,Eco-Sport,sedan,automatic,yh4k14aa3ca000602,ca,43.0,16568.0,black,black,mercedes benz of south bay,47300.0,46000.0,Thu Jun 04 2015 05:30:00 GMT-0700 (PDT)
2012,Chevrolet,Sonic,LS,Sedan,automatic,1g1ja5shxc4116362,tx,21.0,84746.0,red,gray,bank of america,5225.0,4900.0,Tue Jan 27 2015 02:30:00 GMT-0800 (PST)
2014,Hyundai,Genesis Coupe,3.8 Ultimate,Genesis Coupe,automatic,kmhhu6kj6eu113690,ca,5.0,3792.0,white,brown,aaero sweet company,24800.0,24750.0,Wed Dec 17 2014 12:15:00 GMT-0800 (PST)
2008,Chevrolet,Silverado 1500,Work Truck,Crew Cab,automatic,3gcek13338g128459,tx,26.0,146943.0,black,black,remarketing by ge/five star autoplex,13500.0,13600.0,Thu Feb 19 2015 03:00:00 GMT-0800 (PST)
2004,Suzuki,XL-7,LX,SUV,automatic,js3ty92v244108543,az,1.0,144510.0,white,beige,camelback finance co,1575.0,525.0,Wed Feb 25 2015 03:00:00 GMT-0800 (PST)
2006,Nissan,Titan,SE,King Cab,automatic,1n6ba06b76n525824,md,36.0,105481.0,red,gray,capital one auto finance,9700.0,9800.0,Tue Feb 24 2015 01:30:00 GMT-0800 (PST)
2006,Ford,Explorer,Eddie Bauer,SUV,automatic,1fmeu74e26ub43232,pa,44.0,130211.0,burgundy,beige,car sense incorporated,5775.0,6200.0,Tue Jan 20 2015 01:30:00 GMT-0800 (PST)
2012,Nissan,Altima,2.5 S,Sedan,automatic,1n4al2apxcc149219,mo,42.0,33064.0,black,black,nissan-infiniti lt,12150.0,11500.0,Wed Jan 14 2015 02:30:00 GMT-0800 (PST)
2008,Volkswagen,Passat,Lux,Wagon,automatic,wvwtk73c48e163545,il,19.0,85917.0,blue,black,mercedes benz of chicago,6825.0,6400.0,Thu Jan 22 2015 02:00:00 GMT-0800 (PST)
2008,Mercedes-Benz,GL-Class,GL450,SUV,automatic,4jgbf71e48a402938,mn,43.0,108051.0,gray,—,rudy luther toyota,16200.0,16200.0,Wed Mar 04 2015 02:30:00 GMT-0800 (PST)
2013,Chevrolet,Malibu,LS,Sedan,automatic,1g11b5sa0df237696,mi,38.0,36005.0,blue,gray,gm financial leasing,11600.0,11600.0,Thu Dec 18 2014 09:30:00 GMT-0800 (PST)
2007,Ford,Edge,SEL,SUV,automatic,2fmdk38c17bb62073,il,27.0,119429.0,white,beige,santander consumer,7425.0,9000.0,Tue Mar 10 2015 03:00:00 GMT-0700 (PDT)
2012,Volkswagen,Touareg,TDI Sport,SUV,automatic,wvgfk9bp5cd000121,mo,36.0,60387.0,brown,tan,plaza motor company,27200.0,26300.0,Tue Jan 13 2015 12:00:00 GMT-0800 (PST)
2007,Cadillac,Escalade,Base,suv,automatic,1gyfk63877r296076,tx,41.0,189307.0,black,black,vroom,12000.0,14000.0,Thu Jun 04 2015 04:00:00 GMT-0700 (PDT)
2009,Ford,Focus,SE,Sedan,automatic,1fahp35nx9w144109,tx,26.0,157247.0,blue,beige,fairway ford henderson,3300.0,3200.0,Wed Feb 04 2015 02:00:00 GMT-0800 (PST)
2007,GMC,Sierra 1500,SLE1,Extended Cab,automatic,2gtec19j071610378,in,44.0,58073.0,red,black,santander consumer,11500.0,14800.0,Thu Feb 05 2015 02:10:00 GMT-0800 (PST)
2013,Toyota,4Runner,SR5,suv,automatic,jtezu5jr1d5053851,ms,39.0,58627.0,silver,black,the hertz corporation,24900.0,26500.0,Thu Jun 11 2015 03:30:00 GMT-0700 (PDT)
2013,Ford,Explorer,Base,SUV,automatic,1fm5k8b8xdga99971,il,26.0,94533.0,silver,beige,advantage chevrolet/ge,14850.0,15400.0,Thu May 21 2015 03:00:00 GMT-0700 (PDT)
2012,Mercedes-Benz,C-Class,C300 Luxury 4MATIC,sedan,automatic,wddgf8bb4cr231290,nj,43.0,13626.0,white,gray,mercedes-benz financial services,22400.0,23000.0,Wed Jun 03 2015 02:30:00 GMT-0700 (PDT)
2014,Chevrolet,Silverado 1500,LT,Crew Cab,automatic,3gcpcrec0eg206712,ca,33.0,9922.0,brown,black,redline remarketing,27200.0,31500.0,Wed Jan 07 2015 12:05:00 GMT-0800 (PST)
2008,Honda,Odyssey,EX-L,Minivan,automatic,5fnrl38768b098370,tn,23.0,79669.0,blue,gray,crown direct llc,11300.0,10100.0,Wed Jan 21 2015 02:30:00 GMT-0800 (PST)
2010,Chevrolet,Suburban,1500 LT,SUV,automatic,1gnukje33ar140102,tx,4.0,120762.0,silver,gray,pm standley motorcars,16750.0,18700.0,Wed Feb 18 2015 02:20:00 GMT-0800 (PST)
2013,Lincoln,MKZ,Base,Sedan,automatic,3ln6l2jk4dr802386,mi,2.0,11717.0,white,tan,ford motor credit company llc,25200.0,17900.0,Thu May 28 2015 02:00:00 GMT-0700 (PDT)
2013,Ford,F-150,XLT,SuperCab,automatic,1ftex1emxdfc38704,fl,44.0,23903.0,white,gray,bb&t asset disposal,23300.0,25600.0,Thu Feb 19 2015 01:30:00 GMT-0800 (PST)
2012,Nissan,Altima,2.5 S,Sedan,automatic,1n4al2ap1cn426943,pa,36.0,36541.0,blue,black,nissan-infiniti lt,12200.0,13200.0,Fri Jan 09 2015 09:00:00 GMT-0800 (PST)
2014,Dodge,Avenger,SE,Sedan,automatic,1c3cdzab3en161852,oh,5.0,9118.0,blue,beige,chrysler capital,12250.0,12500.0,Tue Jan 20 2015 04:00:00 GMT-0800 (PST)
2006,Chevrolet,Uplander,LS,Minivan,automatic,1gndv23l76d200497,md,25.0,119025.0,blue,gray,credit acceptance corp/vrs/southfield,2550.0,2000.0,Mon Mar 09 2015 17:00:00 GMT-0700 (PDT)
2012,Chevrolet,Impala,LT Fleet,sedan,automatic,2g1wg5e35c1276990,nc,24.0,89607.0,gray,gray,santander consumer,7500.0,6600.0,Mon Jun 08 2015 02:30:00 GMT-0700 (PDT)
2007,Chevrolet,Tahoe,LT,SUV,manual,1gnfk13017r163615,nc,25.0,146216.0,white,black,rick hendrick city chevrolet,12850.0,14500.0,Wed May 27 2015 07:00:00 GMT-0700 (PDT)
2009,Chevrolet,Silverado 1500,LS,Crew Cab,automatic,3gcek13c09g131966,ca,39.0,75297.0,silver,black,aaero sweet company,16800.0,21200.0,Thu Feb 05 2015 03:30:00 GMT-0800 (PST)
2007,Jeep,Grand Cherokee,Laredo,suv,automatic,1j8hr48p77c700164,ca,26.0,131569.0,green,gray,san diego sports cars,6325.0,7000.0,Wed Jun 17 2015 05:15:00 GMT-0700 (PDT)
2010,Dodge,Charger,SXT Fleet,sedan,automatic,2b3ca3cv6ah256435,ca,32.0,98749.0,white,black,stevens creek hyundai,8400.0,10400.0,Wed Jun 03 2015 05:15:00 GMT-0700 (PDT)
2011,BMW,3 Series,328i,sedan,automatic,wbaph7c58be459805,tx,36.0,53211.0,white,beige,fairway ford henderson,15600.0,16500.0,Wed Jun 17 2015 03:00:00 GMT-0700 (PDT)
2012,Chevrolet,Malibu,LT,Sedan,automatic,1g1zd5eu9cf318990,tx,43.0,53804.0,gray,—,southern auto finance co/safco/ft lauderdale,10400.0,9500.0,Thu Feb 26 2015 04:00:00 GMT-0800 (PST)
2012,Nissan,Altima,2.5 S,Sedan,automatic,1n4al2ap8cc143659,ca,22.0,25942.0,—,black,nissan-infiniti lt,12950.0,11750.0,Tue Dec 23 2014 12:30:00 GMT-0800 (PST)
2011,Toyota,Tundra,Tundra,CrewMax Cab,automatic,5tfem5f12bx035849,ca,35.0,46702.0,silver,gray,century dealer services corp,20300.0,22250.0,Wed Feb 18 2015 04:00:00 GMT-0800 (PST)
2014,Toyota,Corolla,LE,Sedan,automatic,2t1burhe0ec133548,wa,39.0,22015.0,white,gray,toyota motor sales usa inc/program,13550.0,13400.0,Wed Feb 18 2015 06:10:00 GMT-0800 (PST)
2014,Mitsubishi,Lancer,ES,Sedan,automatic,ja32u2fu4eu004179,tx,29.0,22777.0,silver,—,capital one auto finance,11100.0,12000.0,Thu Feb 12 2015 04:00:00 GMT-0800 (PST)
2009,Cadillac,CTS,Base,sedan,automatic,1g6dv57v390117251,nv,35.0,97700.0,black,black,remarketing by ge/flagship credit acceptance,10300.0,11000.0,Fri Jun 19 2015 05:00:00 GMT-0700 (PDT)
2012,Ford,Fusion,SE,Sedan,automatic,3fahp0ha2cr156868,mn,44.0,56866.0,—,black,ford motor credit company llc,10100.0,11100.0,Wed Feb 04 2015 02:00:00 GMT-0800 (PST)
2011,Chevrolet,Impala,LT Fleet,Sedan,automatic,2g1wg5ek2b1256136,nc,29.0,75035.0,gray,—,north state acceptance,7975.0,7200.0,Mon Jun 01 2015 02:30:00 GMT-0700 (PDT)
2007,Nissan,Altima,2.5 S,Sedan,automatic,1n4al21e97n422286,tx,19.0,95280.0,black,black,caprock auto remarketing,5800.0,6000.0,Thu Feb 12 2015 03:00:00 GMT-0800 (PST)
2004,Jaguar,XJ-Series,XJ8,Sedan,automatic,sajwa71c74sg22912,ca,25.0,104679.0,blue,gray,pacific motors,4825.0,2800.0,Tue Jan 27 2015 04:30:00 GMT-0800 (PST)
2001,Chevrolet,Express,3500,Van,automatic,1gahg39r511234060,wi,19.0,305308.0,gold,beige,ari,125.0,1050.0,Wed Feb 11 2015 02:00:00 GMT-0800 (PST)
2014,Nissan,Altima,2.5 S,Sedan,automatic,1n4al3ap9en253262,va,47.0,16079.0,black,black,infinity auto sales llc,16050.0,14400.0,Thu Jan 15 2015 01:50:00 GMT-0800 (PST)
2005,Nissan,Altima,2.5 S,Sedan,automatic,1n4al11d45n463052,ma,21.0,119505.0,black,gray,boch toyota/scion south,3350.0,3000.0,Thu Feb 26 2015 10:30:00 GMT-0800 (PST)
2009,Chevrolet,Silverado 1500,LTZ,crew cab,automatic,3gcek33m89g160684,oh,34.0,112571.0,white,beige,santander consumer,17000.0,16800.0,Tue Jun 09 2015 02:30:00 GMT-0700 (PDT)
2013,Kia,Optima,EX,Sedan,automatic,5xxgn4a76dg186165,mn,45.0,21951.0,red,tan,capital one auto finance,15800.0,16400.0,Wed May 27 2015 03:30:00 GMT-0700 (PDT)
2013,Toyota,Yaris,LE,Hatchback,automatic,jtdktud3xdd546864,fl,2.0,27714.0,gray,gray,manheim tampa,10400.0,7600.0,Thu Jan 08 2015 01:30:00 GMT-0800 (PST)
2007,Cadillac,Escalade ESV,Base,SUV,automatic,1gyfk668x7r296214,fl,24.0,80331.0,beige,black,mercedes benz of tampa,20300.0,18600.0,Thu Jan 08 2015 01:45:00 GMT-0800 (PST)
2000,Jeep,Grand Cherokee,Laredo,suv,automatic,1j4gw48s3yc366694,nc,2.0,198523.0,blue,gray,carafello's auto sales  llc,1075.0,1100.0,Mon Jun 01 2015 02:30:00 GMT-0700 (PDT)
2000,Honda,Accord,EX V6,Coupe,automatic,1hgcg225xya020065,nc,19.0,279708.0,green,beige,hendrick honda,675.0,650.0,Wed Jan 28 2015 06:30:00 GMT-0800 (PST)
2014,BMW,M6,Base,convertible,automatic,wbslz9c59edz78472,ca,28.0,6835.0,—,black,financial services remarketing (lease),84000.0,80000.0,Tue Jun 09 2015 05:30:00 GMT-0700 (PDT)
2014,Chevrolet,Silverado 1500,LT,Crew Cab,automatic,3gcukrec8eg454258,tx,36.0,12160.0,burgundy,gray,music city autoplex llc,30500.0,30900.0,Wed Jan 28 2015 02:20:00 GMT-0800 (PST)
2014,Ford,Focus,SE,Sedan,automatic,1fadp3f29el239341,tx,38.0,43661.0,white,black,avis corporation,11400.0,11600.0,Wed Feb 25 2015 02:00:00 GMT-0800 (PST)
2012,Nissan,Altima,2.5 S,sedan,automatic,1n4al2ap6cc202255,tn,25.0,13461.0,black,black,nissan-infiniti lt,12850.0,11800.0,Tue Jun 16 2015 03:30:00 GMT-0700 (PDT)
2004,MINI,Cooper,Base,hatchback,automatic,wmwrc33414tj59013,pa,29.0,163372.0,red,black,r hollenshead auto sales inc,2150.0,2300.0,Fri Jun 05 2015 02:00:00 GMT-0700 (PDT)
2013,Ford,Escape,Titanium,suv,automatic,1fmcu0j94dub00207,tx,27.0,51049.0,white,black,td auto finance,17650.0,15800.0,Wed Jun 03 2015 03:00:00 GMT-0700 (PDT)
2004,Infiniti,I35,Base,Sedan,automatic,jnkda31a04t201987,nj,25.0,108041.0,beige,tan,j & s auto haus,4150.0,4650.0,Wed Jan 21 2015 01:00:00 GMT-0800 (PST)
2014,Mitsubishi,Outlander,GT,SUV,automatic,ja4jz4ax2ez003508,nv,46.0,17855.0,silver,black,mitsubishi motors of america,22900.0,23250.0,Wed Dec 31 2014 12:00:00 GMT-0800 (PST)
2005,Dodge,Ram Pickup 1500,SLT,Quad Cab,automatic,1d7hu18d25s264469,oh,2.0,89875.0,blue,black,wells fargo dealer services,11550.0,7300.0,Tue Feb 10 2015 04:00:00 GMT-0800 (PST)
2013,Lincoln,MKZ,Base,sedan,automatic,3ln6l2j97dr817896,il,29.0,19437.0,black,black,ford motor credit company llc,23400.0,22100.0,Thu Jun 04 2015 03:00:00 GMT-0700 (PDT)
2006,Chevrolet,Impala,SS,Sedan,automatic,2g1wd58cx69269382,fl,25.0,102165.0,black,tan,hertz remarketing,6150.0,4800.0,Thu Jan 22 2015 01:35:00 GMT-0800 (PST)
2012,Honda,Accord,SE,sedan,automatic,1hgcp2f61ca149405,ga,28.0,24952.0,silver,black,ahfc/honda lease trust/hvt  inc. eot,13050.0,12600.0,Thu Jun 18 2015 03:00:00 GMT-0700 (PDT)
2008,Chevrolet,Impala,LS,Sedan,automatic,2g1wb58n589215773,ga,26.0,102775.0,white,black,capital one auto finance,4800.0,4900.0,Tue Feb 24 2015 01:30:00 GMT-0800 (PST)
2009,Nissan,Cube,1.8 S,Wagon,automatic,jn8az28r49t117704,mo,16.0,59463.0,—,black,chrysler capital,7975.0,4900.0,Tue May 26 2015 08:00:00 GMT-0700 (PDT)
2008,Mercedes-Benz,GL-Class,GL550,SUV,automatic,4jgbf86e28a350367,fl,26.0,90586.0,white,tan,autonation chevrolet pembroke pines,20000.0,16600.0,Tue Jan 27 2015 01:15:00 GMT-0800 (PST)
2010,Ford,Focus,SE,sedan,automatic,1fahp3fn7aw129408,tx,28.0,84355.0,red,beige,state superior fin,6100.0,4800.0,Thu Jun 18 2015 03:30:00 GMT-0700 (PDT)
2002,Nissan,Sentra,GXE,Sedan,automatic,3n1cb51d92l673013,ma,23.0,209320.0,black,gray,first hyundai,550.0,500.0,Thu Feb 05 2015 10:30:00 GMT-0800 (PST)
2007,Chevrolet,Cobalt,LT,sedan,automatic,1g1al58f677344637,nc,23.0,107416.0,black,gray,hendrick chevrolet,3200.0,2900.0,Mon Jun 01 2015 02:15:00 GMT-0700 (PDT)
2008,Chrysler,PT Cruiser,Base,Wagon,automatic,3a8fy48b48t157327,oh,28.0,107868.0,gray,gray,car now acceptance co/columbus,2450.0,3900.0,Thu Feb 12 2015 01:00:00 GMT-0800 (PST)
2010,Ford,F-150,XLT,supercrew,automatic,1ftew1e8xafc97124,tx,32.0,93379.0,gold,tan,ford motor credit company llc,16350.0,16700.0,Thu Jun 11 2015 03:30:00 GMT-0700 (PDT)
2013,Chrysler,200,Touring,Sedan,automatic,1c3ccbbb9dn639246,il,25.0,50628.0,blue,black,dtg operations inc,9750.0,9700.0,Tue Jun 02 2015 04:00:00 GMT-0700 (PDT)
2014,Chevrolet,Impala Limited,LS Fleet,Sedan,automatic,2g1wa5e32e1146976,fl,3.0,21124.0,silver,gray,gm remarketing,12200.0,12500.0,Mon Feb 09 2015 05:00:00 GMT-0800 (PST)
2012,Nissan,Sentra,2.0 SR,Sedan,automatic,3n1ab6ap7cl617175,pa,32.0,14690.0,black,black,merrick preowned,12250.0,10800.0,Fri Feb 06 2015 01:00:00 GMT-0800 (PST)
2004,Kia,Sorento,LX,SUV,automatic,kndjd733145226516,nj,26.0,162642.0,blue,gray,black tie classics llc,2375.0,1800.0,Wed Jan 21 2015 01:30:00 GMT-0800 (PST)
2011,Ford,Explorer,Limited,suv,automatic,1fmhk8f85bga19593,in,39.0,32577.0,black,black,a & h import,24600.0,26900.0,Thu May 28 2015 03:10:00 GMT-0700 (PDT)
2013,Dodge,Charger,SXT,Sedan,automatic,2c3cdxhgxdh668387,mo,38.0,96176.0,black,tan,automotive solutions llc,14500.0,16000.0,Wed Mar 04 2015 02:30:00 GMT-0800 (PST)
2013,Nissan,Versa,1.6 S Plus,Sedan,automatic,3n1cn7ap1dl886277,tn,36.0,28755.0,black,black,tdaf remarketing,9800.0,10500.0,Wed Jan 28 2015 02:30:00 GMT-0800 (PST)
2005,Ford,Mustang,Premium,Coupe,automatic,1zvft80n055172709,sc,36.0,69862.0,blue,black,rick hendrick dodge chrysler jeep ram,6975.0,7500.0,Tue Feb 24 2015 02:00:00 GMT-0800 (PST)
2011,Ford,F-350 Super Duty,Lariat,Crew Cab,automatic,1ft8w3dtxbea41684,mo,23.0,94101.0,white,brown,remarketing by ge/meritrust credit union,31600.0,30300.0,Wed Jan 21 2015 02:30:00 GMT-0800 (PST)
2013,Hyundai,Accent,GLS,Sedan,automatic,kmhct4ae6du439865,ca,41.0,53595.0,silver,gray,avis corporation,9000.0,9300.0,Tue Jan 27 2015 04:30:00 GMT-0800 (PST)
2013,Chevrolet,Cruze,1LT,Sedan,automatic,1g1pc5sb2d7200529,tx,21.0,39454.0,silver,gray,regional acceptance corporation / greensboro,11000.0,9000.0,Tue Feb 17 2015 02:30:00 GMT-0800 (PST)
2003,Volkswagen,New Beetle,GLS,convertible,automatic,3vwck21y53m312238,fl,28.0,73246.0,silver,black,holman honda of fort lauderdale,3000.0,2800.0,Fri Jun 19 2015 02:35:00 GMT-0700 (PDT)
2006,Cadillac,STS,V6,Sedan,automatic,1g6dw677060100598,fl,26.0,113949.0,white,—,nicholas financial inc/clearwater,5250.0,4400.0,Thu Jan 29 2015 07:01:00 GMT-0800 (PST)
2007,GMC,Yukon XL,Denali,suv,automatic,1gkfk66887j285933,ca,3.0,177260.0,black,black,symbolic motor cars,10250.0,10500.0,Tue Jun 16 2015 05:30:00 GMT-0700 (PDT)
2000,Ford,Explorer,Limited,SUV,automatic,1fmdu75e1yza66272,wi,19.0,182642.0,white,tan,credit acceptance corp/vrs/southfield,1250.0,1000.0,Wed Feb 25 2015 02:00:00 GMT-0800 (PST)
2008,BMW,3 Series,328i,Sedan,automatic,wbava37538nl45329,fl,19.0,110772.0,blue,brown,mercedes benz of north orlando,8300.0,7000.0,Tue Mar 10 2015 02:15:00 GMT-0700 (PDT)
2014,Chevrolet,Captiva Sport,LT Fleet,SUV,automatic,3gnal3ekxes631918,fl,4.0,23955.0,silver,black,gm remarketing,15800.0,16800.0,Mon Feb 23 2015 05:00:00 GMT-0800 (PST)
2014,Kia,Cadenza,Premium,Sedan,automatic,knaln4d77e5148571,tx,5.0,3168.0,white,tan,hyundai motor finance,23500.0,22800.0,Wed May 27 2015 03:30:00 GMT-0700 (PDT)
2012,Toyota,RAV4,Base,SUV,automatic,2t3bf4dv8cw201858,ga,35.0,65220.0,brown,gray,onesource/savannah toyota scion,13300.0,13400.0,Thu Jan 29 2015 02:00:00 GMT-0800 (PST)
2011,Mercedes-Benz,Sprinter,2500 144 WB Passenger,Van,automatic,wdzpe7cc2b5569405,ca,33.0,18794.0,black,—,mercedes-benz finc wholesale advantage,30900.0,31000.0,Thu May 21 2015 05:30:00 GMT-0700 (PDT)
