year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
2014,Ford,Explorer,Limited,SUV,automatic,1fm5k8f88egb11756,ga,41.0,36409.0,silver,tan,ars/avis budget group,29300.0,29300.0,Tue Feb 17 2015 01:30:00 GMT-0800 (PST)
2008,Kia,Rio,LX,Sedan,manual,knade123386304607,md,38.0,98906.0,black,gray,j & l motors of hickory inc,2725.0,1300.0,Tue May 19 2015 02:30:00 GMT-0700 (PDT)
2008,Toyota,Tundra,SR5,Double Cab,automatic,5tfbv54108x052290,tx,19.0,116702.0,silver,gray,exeter finance corp,15950.0,12400.0,Tue Mar 03 2015 02:30:00 GMT-0800 (PST)
2000,Chevrolet,Corvette,Base,Convertible,manual,1g1yy32g4y5127705,fl,32.0,123028.0,gray,black,mercedes benz of tampa,8550.0,9500.0,Thu Jan 08 2015 16:30:00 GMT-0800 (PST)
2013,Dodge,Charger,SE,Sedan,automatic,2c3cdxbgxdh579671,ga,23.0,38788.0,red,black,td auto finance,16000.0,15000.0,Thu Mar 05 2015 02:00:00 GMT-0800 (PST)
2012,Scion,iQ,Base,hatchback,automatic,jtnjjxb07cj019954,mo,37.0,26959.0,orange,black,toyota financial services,8275.0,8500.0,Wed Jun 03 2015 03:30:00 GMT-0700 (PDT)
2012,Ram,1500,Laramie,Quad Cab,automatic,1c6rd7jt4cs180404,ut,35.0,99637.0,red,black,auto focus inc,21100.0,18800.0,Wed May 20 2015 04:30:00 GMT-0700 (PDT)
2012,Toyota,Highlander,Limited,SUV,automatic,5tddk3eh1cs108222,wi,19.0,47261.0,black,black,toyota financial services,26500.0,27200.0,Wed Jan 14 2015 02:00:00 GMT-0800 (PST)
2005,Buick,LeSabre,Custom,Sedan,automatic,1g4hp52k15u275365,nc,29.0,180465.0,silver,gray,auto house of salisbury inc,1475.0,1650.0,Tue Feb 17 2015 02:00:00 GMT-0800 (PST)
2014,Dodge,Grand Caravan,SE,Minivan,automatic,2c4rdgbg9er474086,mo,5.0,5589.0,black,black,chrysler capital,16350.0,16000.0,Wed Feb 18 2015 02:30:00 GMT-0800 (PST)
2012,Toyota,Camry,LE,Sedan,automatic,4t1bf1fk0cu008209,fl,28.0,27567.0,gray,gray,world omni financial corporation,13650.0,13200.0,Tue Feb 17 2015 01:30:00 GMT-0800 (PST)
2011,BMW,3 Series,328i xDrive,sedan,automatic,wbapk5g58bnn81760,sc,42.0,33036.0,silver,black,meridian remarketing,19500.0,20300.0,Thu May 28 2015 02:30:00 GMT-0700 (PDT)
2014,Lexus,ES 350,Base,Sedan,automatic,jthbk1gg4e2119336,fl,46.0,9092.0,silver,black,lexus financial services,30500.0,35100.0,Tue Jan 27 2015 01:30:00 GMT-0800 (PST)
2006,Mercury,Mariner,Luxury,SUV,automatic,4m2cu57106kj01818,ma,34.0,53247.0,silver,black,lexus of watertown,6975.0,7900.0,Tue Mar 10 2015 03:00:00 GMT-0700 (PDT)
2008,Pontiac,Torrent,Base,SUV,automatic,2ckdl33f486314336,mi,49.0,64698.0,gray,gray,kevins marysville auto sales inc,7150.0,8500.0,Thu Feb 19 2015 01:30:00 GMT-0800 (PST)
2008,Lexus,GX 470,Base,SUV,automatic,jtjbt20x080166844,fl,29.0,147852.0,burgundy,beige,mercedes benz of tampa,15700.0,14000.0,Thu Jan 08 2015 08:30:00 GMT-0800 (PST)
2013,Chevrolet,Cruze,LTZ,sedan,automatic,1g1pg5sb2d7239724,fl,35.0,50810.0,gray,black,the hertz corporation,11050.0,11300.0,Wed Jun 03 2015 02:40:00 GMT-0700 (PDT)
2007,Mitsubishi,Outlander,XLS,SUV,automatic,ja4ms41x57z021554,ca,33.0,111299.0,gray,black,rancho ford,4925.0,3700.0,Tue Jan 13 2015 04:00:00 GMT-0800 (PST)
